,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
0,Toyota,2011,Foreign Used,284256,2500,Petrol,Automatic,"8,610,000",
1,Toyota,2013,Foreign Used,168043,2700,Petrol,Automatic,"6,760,000",
2,Mercedes-Benz,2014,Nigerian Used,233048,4600,Petrol,Automatic,"19,760,000",SUV
3,Ford,2015,Foreign Used,105715,2000,Petrol,Automatic,"11,907,000",SUV
4,Toyota,2011,Nigerian Used,198183,3500,Petrol,Automatic,"5,460,000",SUV
5,Land Rover,2013,Nigerian Used,88423,,Petrol,Automatic,"5,775,000",
6,Toyota,2010,Nigerian Used,106577,3500,Petrol,Automatic,"4,063,500",SUV
7,Acura,2015,Foreign Used,138594,2400,Petrol,Automatic,"7,980,000",
8,Toyota,2011,Foreign Used,87770,2400,Petrol,Automatic,"4,515,000",
9,Toyota,2010,Nigerian Used,144669,1800,Petrol,Automatic,"4,056,000",
10,Mercedes-Benz,2014,Nigerian Used,119519,2000,Petrol,Automatic,"8,150,625",
11,Lexus,2011,Foreign Used,126596,3500,Petrol,Automatic,"6,405,000",
12,Mercedes-Benz,2007,Nigerian Used,77699,4700,Petrol,Automatic,"3,675,000",SUV
13,Mercedes-Benz,2008,Nigerian Used,2675,3500,Petrol,Automatic,"3,780,000",SUV
14,Ford,2011,Nigerian Used,132682,3500,Petrol,Automatic,"3,675,000",
15,Acura,2007,Nigerian Used,186293,3700,Petrol,Automatic,"4,160,000",SUV
16,Ford,2010,Nigerian Used,252890,4000,Petrol,Automatic,"7,350,000",
17,Hyundai,2005,Nigerian Used,226366,2400,Petrol,Automatic,"3,885,000",
18,Lexus,2008,Nigerian Used,306400,3500,Petrol,Automatic,"3,150,000",
19,Ford,2011,Nigerian Used,132682,3500,Petrol,Automatic,"3,675,000",
20,Toyota,2007,Foreign Used,151456,3500,Petrol,Automatic,"7,665,000",
21,Land Rover,2011,Nigerian Used,100097,3500,Petrol,Automatic,"10,920,000",SUV
22,Mercedes-Benz,2008,Nigerian Used,2675,3500,Petrol,Automatic,"3,780,000",SUV
23,Ford,2014,Foreign Used,165413,2000,Petrol,Automatic,"5,250,000",SUV
24,Toyota,2007,Nigerian Used,202463,3500,Petrol,Automatic,"3,536,000",
25,Lexus,2002,Foreign Used,,3000,Petrol,Automatic,"3,307,500",
26,Toyota,2005,Foreign Used,340233,4700,Petrol,Automatic,"7,488,000",
27,Mercedes-Benz,2008,Foreign Used,5767,1800,Petrol,Automatic,"4,300,000",
28,Toyota,2011,Nigerian Used,240911,3500,Petrol,Automatic,"8,944,000",SUV
29,Mercedes-Benz,2016,Foreign Used,75375,2000,Petrol,Automatic,"15,600,000",
30,Mercedes-Benz,2016,Foreign Used,75375,2000,Petrol,Automatic,"15,600,000",
31,Toyota,2005,Foreign Used,340233,4700,Petrol,Automatic,"7,488,000",
32,Nissan,2006,Foreign Used,334071,2500,Petrol,Automatic,"3,465,000",
33,Lexus,2007,Nigerian Used,245290,3500,Petrol,Automatic,"4,680,000",
34,Toyota,2011,Nigerian Used,240911,3500,Petrol,Automatic,"8,944,000",SUV
35,Land Rover,2008,Nigerian Used,79439,4200,Petrol,Automatic,"5,200,000",SUV
36,Dodge,2010,Foreign Used,180374,3500,Petrol,Automatic,"4,725,000",SUV
37,Toyota,2012,Foreign Used,144198,2500,Petrol,Automatic,"6,760,000",
38,Lexus,2011,Nigerian Used,108318,3500,Petrol,Automatic,"7,558,950",SUV
39,Ford,2011,Foreign Used,198923,3500,Petrol,Automatic,"5,250,000",
40,Lexus,2011,Foreign Used,158377,4600,Petrol,Automatic,"17,010,000",SUV
41,Ford,2014,Nigerian Used,81174,3500,Petrol,Automatic,"15,600,000",SUV
42,Lexus,2008,Nigerian Used,116827,3500,Petrol,Automatic,"3,675,000",SUV
43,Toyota,2014,Foreign Used,231722,1800,Petrol,Automatic,"6,720,000",
44,Nissan,2013,Nigerian Used,76472,2400,Petrol,Manual,"7,350,000",
45,Toyota,2012,Nigerian Used,115987,3500,Petrol,Automatic,"7,800,000",SUV
46,Toyota,2011,Foreign Used,301735,2500,Petrol,Automatic,"5,408,000",
47,Lexus,2007,Nigerian Used,173942,3500,Petrol,Automatic,"4,680,000",
48,Toyota,2017,Foreign Used,132556,4700,Petrol,Automatic,"24,960,000",SUV
49,Kia,2011,Nigerian Used,230721,2400,Petrol,Automatic,"5,250,000",SUV
50,Acura,2008,Foreign Used,269438,2300,Petrol,Automatic,"4,410,000",SUV
51,Acura,2007,Nigerian Used,,2500,Petrol,Automatic,"3,045,000",
52,Ford,2010,Nigerian Used,374513,3500,Petrol,Automatic,"3,744,000",SUV
53,Toyota,2006,Nigerian Used,187116,2700,Petrol,Automatic,"10,400,000",SUV
54,Ford,2011,Foreign Used,421952,3500,Petrol,Automatic,"6,760,000",
55,Toyota,2012,Nigerian Used,143955,2500,Petrol,Automatic,"5,200,000",
56,Lexus,2006,Nigerian Used,375943,4700,Petrol,Automatic,"4,725,000",SUV
57,Mercedes-Benz,2020,Foreign Used,,2000,Petrol,Automatic,"17,450,000",
58,Acura,2010,Nigerian Used,287146,3500,Petrol,Automatic,"3,640,000",
59,Lexus,2008,Foreign Used,197705,3500,Petrol,Automatic,"4,725,000",
60,Toyota,2013,Foreign Used,203555,2700,Petrol,Automatic,"8,295,000",SUV
61,Toyota,2004,Foreign Used,170348,3300,Petrol,Automatic,"4,305,000",SUV
62,Lexus,2008,Nigerian Used,306073,3500,Petrol,Automatic,"3,744,000",
63,Mercedes-Benz,2017,Nigerian Used,33801,3500,Petrol,Automatic,"27,300,000",SUV
64,Toyota,2009,Nigerian Used,234028,3500,Petrol,Automatic,"7,280,000",SUV
65,Toyota,2013,Foreign Used,77364,3500,Petrol,Automatic,"11,960,000",
66,Ford,2016,Foreign Used,126782,3700,Petrol,Automatic,"15,435,000",
67,Mercedes-Benz,2019,Foreign Used,76707,4000,Petrol,Automatic,"43,470,000",SUV
68,Toyota,2014,Foreign Used,223097,5700,Petrol,Automatic,"22,050,000",
69,Lexus,2010,Foreign Used,166230,3400,Petrol,Automatic,"9,450,000",SUV
70,Mercedes-Benz,2008,Nigerian Used,152843,3500,Petrol,Automatic,"4,160,000",SUV
71,Toyota,2013,Foreign Used,224716,2500,Petrol,Automatic,"5,775,000",
72,Mercedes-Benz,2008,Foreign Used,289939,3500,Petrol,Automatic,"3,885,000",
73,Land Rover,2009,Nigerian Used,55181,4600,Petrol,Automatic,"9,150,000",SUV
74,Lexus,2007,Nigerian Used,252761,3500,Petrol,Automatic,"3,850,000",
75,Mercedes-Benz,2017,Nigerian Used,33801,3500,Petrol,Automatic,"27,300,000",SUV
76,Lexus,2004,Nigerian Used,226649,3300,Petrol,Automatic,"3,016,000",
77,Toyota,2012,Foreign Used,151898,2400,Petrol,Automatic,"6,760,000",
78,Ford,2016,Foreign Used,126782,3700,Petrol,Automatic,"15,435,000",
79,Toyota,2005,Nigerian Used,219842,4000,Petrol,Automatic,"3,224,000",SUV
